Date,Open,High,Low,Close,Volume,OpenInterest
2018-01-02,2695.75,2716.5,2695.0,2713.5,3017744,0
2018-01-03,2714.25,2734.75,2712.75,2731.5,3064592,0
2018-01-04,2730.75,2749.5,2729.0,2744.25,3107934,0
2018-01-05,2745.5,2763.75,2744.25,2763.0,3144990,0
2018-01-08,2762.25,2769.0,2757.0,2767.25,3168055,0
2018-01-09,2767.0,2780.5,2763.25,2772.75,3190900,0
2018-01-10,2770.25,2772.5,2757.0,2771.0,3203452,0
2018-01-11,2770.5,2791.0,2768.25,2790.0,3198069,0
2018-01-12,2789.25,2810.5,2787.25,2809.25,3210339,0
2018-01-16,2810.25,2829.0,2789.75,2803.0,3246225,0
2018-01-17,2803.25,2830.0,2799.5,2824.25,3250369,0
2018-01-18,2823.75,2828.5,2814.25,2816.75,3273650,0
2018-01-19,2817.5,2835.5,2812.25,2831.5,3303322,0
2018-01-22,2824.5,2858.75,2822.5,2855.75,3312310,0
2018-01-23,2855.75,2865.25,2849.25,2860.0,3318612,0
2018-01-24,2857.5,2875.75,2846.0,2861.5,3349443,0
2018-01-25,2860.5,2874.25,2851.25,2861.75,3337061,0
2018-01-26,2862.75,2896.5,2861.75,2895.0,3331783,0
2018-01-29,2894.75,2899.0,2872.0,2874.0,3295318,0
2018-01-30,2873.75,2878.5,2839.0,2845.0,3278038,0
2018-01-31,2843.75,2860.25,2833.5,2846.25,3295548,0
2018-02-01,2849.25,2857.75,2830.0,2843.0,3311911,0
2018-02-02,2847.0,2851.5,2775.75,2777.25,3297660,0
2018-02-05,2777.5,2783.5,2616.25,2628.25,3323338,0
2018-02-06,2644.5,2720.25,2549.5,2714.75,3294277,0
2018-02-07,2706.0,2747.25,2681.0,2688.75,3264285,0
2018-02-08,2685.25,2707.0,2597.5,2614.0,3320006,0
2018-02-09,2614.25,2658.25,2550.75,2639.5,3315698,0
2018-02-12,2648.75,2692.0,2640.5,2675.75,3217706,0
2018-02-13,2673.75,2688.0,2654.75,2682.25,3191989,0
2018-02-14,2683.0,2722.25,2647.5,2717.5,3165063,0
2018-02-15,2716.0,2757.25,2709.0,2754.5,3177219,0
2018-02-16,2754.5,2775.25,2742.75,2755.5,3172501,0
2018-02-20,2755.0,2768.25,2726.25,2734.5,3176441,0
2018-02-21,2735.0,2768.25,2714.0,2719.25,3162459,0
2018-02-22,2719.0,2751.5,2702.5,2732.0,3156159,0
2018-02-23,2733.25,2770.75,2730.5,2769.25,3168128,0
2018-02-26,2772.0,2806.5,2763.0,2805.0,3169192,0
2018-02-27,2804.0,2810.25,2762.5,2768.0,3165874,0
2018-02-28,2767.0,2782.5,2732.5,2735.0,3117034,0
2018-03-01,2738.75,2751.5,2679.0,2698.75,3135753,0
2018-03-02,2699.25,2716.5,2667.5,2710.75,3143984,0
2018-03-05,2703.75,2748.25,2684.25,2739.0,3109807,0
2018-03-06,2739.5,2755.0,2730.75,2744.5,3079923,0
2018-03-07,2720.5,2750.75,2701.75,2743.75,3002645,0
2018-03-08,2744.0,2761.0,2739.75,2759.75,652394,0
2018-03-09,2757.5,2807.5,2751.0,2804.25,1166354,0
2018-03-12,2804.25,2820.75,2799.25,2804.5,1857383,0
2018-03-13,2802.5,2822.75,2778.0,2788.25,2385499,0
2018-03-14,2782.5,2799.0,2763.75,2769.5,2609150,0
2018-03-15,2770.25,2782.75,2760.5,2771.0,2665457,0
2018-03-16,2773.0,2781.75,2765.75,2771.5,2681583,0
2018-03-19,2771.75,2772.0,2712.75,2738.25,2698947,0
2018-03-20,2737.0,2744.5,2728.25,2739.0,2706998,0
2018-03-21,2738.75,2759.5,2728.0,2733.75,2722391,0
2018-03-22,2733.75,2741.75,2657.25,2658.75,2779805,0
2018-03-23,2661.25,2674.25,2601.5,2613.25,2849518,0
2018-03-26,2610.5,2678.25,2606.5,2675.0,2889651,0
2018-03-27,2675.0,2695.25,2611.5,2631.25,2884080,0
2018-03-28,2628.25,2649.25,2608.5,2623.0,2918961,0
2018-03-29,2625.25,2675.0,2616.5,2658.5,2887303,0
2018-04-02,2650.5,2657.0,2567.5,2590.5,2933144,0
2018-04-03,2596.75,2634.25,2589.0,2628.75,2942545,0
2018-04-04,2627.5,2665.25,2575.0,2662.5,2937636,0
2018-04-05,2661.25,2687.75,2659.5,2677.25,2914793,0
2018-04-06,2678.5,2679.5,2600.0,2621.25,2900411,0
2018-04-09,2623.0,2669.25,2623.0,2634.5,2923967,0
2018-04-10,2633.25,2681.75,2627.75,2670.5,2907441,0
2018-04-11,2670.0,2676.75,2641.5,2656.5,2860319,0
2018-04-12,2658.0,2690.5,2655.25,2679.5,2860677,0
2018-04-13,2677.25,2696.0,2660.25,2672.75,2875836,0
2018-04-16,2688.75,2702.5,2676.25,2697.25,2868740,0
2018-04-17,2694.75,2729.25,2694.25,2722.0,2880705,0
2018-04-18,2720.0,2734.0,2719.25,2725.25,2876346,0
2018-04-19,2727.25,2728.75,2697.0,2708.5,2890292,0
2018-04-20,2708.0,2713.75,2675.25,2687.0,2897639,0
2018-04-23,2698.5,2700.25,2672.75,2686.75,2885246,0
2018-04-24,2687.5,2704.0,2631.5,2650.75,2905501,0
2018-04-25,2650.75,2663.75,2626.75,2660.0,2905239,0
2018-04-26,2663.75,2693.0,2655.0,2690.0,2865991,0
2018-04-27,2691.0,2691.75,2673.25,2687.0,2853010,0
2018-04-30,2686.0,2697.75,2660.5,2662.5,2859811,0
2018-05-01,2661.75,2673.5,2638.75,2667.75,2860955,0
2018-05-02,2671.0,2674.0,2639.75,2643.0,2857898,0
2018-05-03,2642.25,2651.75,2606.75,2647.25,2859232,0
2018-05-04,2647.25,2685.0,2627.75,2678.5,2852359,0
2018-05-07,2678.25,2697.0,2676.75,2685.5,2834612,0
2018-05-08,2683.5,2689.75,2667.75,2685.75,2842527,0
2018-05-09,2685.25,2715.5,2682.0,2711.5,2852929,0
2018-05-10,2711.5,2740.5,2708.25,2734.25,2867496,0
2018-05-11,2731.75,2748.0,2731.75,2745.0,2887528,0
2018-05-14,2742.75,2756.75,2739.75,2746.5,2889450,0
2018-05-15,2744.0,2746.75,2716.0,2724.5,2903781,0
2018-05-16,2726.75,2743.5,2720.0,2738.5,2912515,0
2018-05-17,2737.25,2747.5,2726.5,2734.25,2937683,0
2018-05-18,2734.25,2742.5,2724.25,2728.5,2944226,0
2018-05-21,2744.25,2754.75,2739.75,2748.5,2952475,0
2018-05-22,2746.75,2757.25,2737.0,2741.5,2949209,0
2018-05-23,2740.0,2748.5,2720.0,2746.25,2971689,0
2018-05-24,2745.25,2748.75,2721.25,2743.0,2959394,0
2018-05-25,2742.25,2753.25,2729.25,2733.75,2972496,0
2018-05-29,2744.5,2747.25,2690.5,2707.75,2994694,0
2018-05-30,2708.75,2744.75,2701.25,2740.0,2988168,0
2018-05-31,2735.75,2743.75,2715.25,2721.0,2986857,0
2018-06-01,2723.0,2752.5,2721.5,2749.25,2971859,0
2018-06-04,2746.5,2764.75,2744.5,2761.0,2973815,0
2018-06-05,2761.5,2768.75,2754.5,2767.0,2946533,0
2018-06-06,2766.5,2790.25,2763.5,2787.75,2857383,0
2018-06-07,2789.25,2795.25,2775.5,2787.75,682262,0
2018-06-08,2787.0,2795.0,2767.5,2794.25,1142120,0
2018-06-11,2788.5,2806.0,2785.75,2798.5,1809743,0
2018-06-12,2796.75,2805.75,2794.0,2800.0,2283691,0
2018-06-13,2803.75,2807.75,2790.25,2790.75,2499069,0
2018-06-14,2789.5,2805.75,2784.0,2800.25,2602004,0
2018-06-15,2798.75,2800.25,2777.25,2796.25,2607634,0
2018-06-18,2791.75,2798.5,2773.0,2791.5,2595978,0
2018-06-19,2790.0,2792.0,2747.5,2778.0,2626220,0
2018-06-20,2777.0,2790.0,2769.0,2783.75,2626162,0
2018-06-21,2783.5,2797.0,2758.75,2764.25,2620586,0
2018-06-22,2762.25,2780.25,2761.0,2771.25,2618991,0
2018-06-25,2768.75,2769.75,2712.25,2734.0,2638026,0
2018-06-26,2733.5,2747.0,2726.5,2740.25,2626088,0
2018-06-27,2738.25,2759.75,2712.75,2716.75,2629776,0
2018-06-28,2716.75,2738.0,2705.0,2731.25,2630303,0
2018-06-29,2731.75,2757.25,2728.5,2733.25,2620996,0
2018-07-02,2732.75,2740.25,2710.25,2739.0,2605520,0
2018-07-03,2739.0,2753.25,2723.75,2725.0,2600928,0
2018-07-05,2724.75,2751.5,2722.5,2750.25,2597888,0
2018-07-06,2748.75,2778.0,2743.0,2774.75,2596309,0
2018-07-09,2773.75,2799.75,2773.5,2799.25,2634459,0
2018-07-10,2799.25,2809.5,2792.25,2808.5,2642616,0
2018-07-11,2792.5,2799.5,2777.5,2785.75,2644336,0
2018-07-12,2788.5,2812.75,2785.5,2810.25,2666247,0
2018-07-13,2810.25,2819.0,2805.0,2815.0,2677236,0
2018-07-16,2816.5,2820.75,2806.75,2808.25,2672510,0
2018-07-17,2807.5,2827.5,2801.5,2823.0,2697051,0
2018-07-18,2824.75,2830.0,2818.5,2827.75,2696845,0
